# NETWORK	STATION	LOCATION	CHANNEL	STARTTIME	ENDTIME	LAT	LON	ELEVATION	DEPTH
TA	A21K	EP	LDV	2014-05-28 00:00:00	2599-12-31 23:59:59	71.3221	-156.6175	5	0
TA	A36M	EP	LDV	2013-09-02 00:00:00	2599-12-31 23:59:59	71.9871	-125.2472	32	0
TA	C23K	EP	LDV	2016-06-20 00:00:00	2599-12-31 23:59:59	69.836	-150.6126	179	0
TA	C24K	EP	LDV	2016-06-17 00:00:00	2599-12-31 23:59:59	69.72	-148.7009	115	0
TA	C26K	EP	LDV	2016-06-24 00:00:00	2599-12-31 23:59:59	69.9175	-144.9122	139	0
TA	C27K	EP	LDV	2016-06-23 00:00:00	2599-12-31 23:59:59	69.626	-143.7114	392	0
TA	C36M	EP	LDV	2013-08-21 00:00:00	2599-12-31 23:59:59	69.3475	-124.0703	10	0
TA	D23K	EP	LDV	2016-06-19 00:00:00	2599-12-31 23:59:59	68.9656	-150.6807	406	0
TA	D24K	EP	LDV	2016-06-15 00:00:00	2017-06-21 08:45:00	69.1532	-148.8233	292	0
TA	D25K	EP	LDV	2016-06-22 00:00:00	2599-12-31 23:59:59	69.322	-146.3751	770	0
TA	E22K	EP	LDV	2016-06-28 00:00:00	2599-12-31 23:59:59	68.1343	-151.8132	772	0
TA	E24K	EP	LDV	2016-06-29 00:00:00	2599-12-31 23:59:59	68.0748	-148.4868	847	0
TA	E27K	EP	LDV	2016-07-13 00:00:00	2599-12-31 23:59:59	68.1861	-141.5951	654	0
TA	EPYK	EP	LDV	2012-10-10 00:00:00	2599-12-31 23:59:59	66.3701	-136.7191	717	0
TA	F21K	EP	LDV	2016-06-20 00:00:00	2599-12-31 23:59:59	67.2221	-153.483	597	0
TA	F22K	EP	LDV	2016-06-21 00:00:00	2599-12-31 23:59:59	67.5076	-152.179	546	0
TA	F24K	EP	LDV	2016-06-30 00:00:00	2599-12-31 23:59:59	67.5187	-147.8871	736	0
TA	F25K	EP	LDV	2016-07-16 00:00:00	2599-12-31 23:59:59	67.5933	-145.643	864	0
TA	F26K	EP	LDV	2016-07-15 00:00:00	2599-12-31 23:59:59	67.6946	-144.1455	683	0
TA	F31M	EP	LDV	2016-08-22 00:00:00	2599-12-31 23:59:59	67.441	-133.742	56	0
TA	G18K	EP	LDV	2017-06-15 00:00:00	2599-12-31 23:59:59	65.895	-158.654	484	0
TA	G19K	EP	LDV	2017-06-14 00:00:00	2599-12-31 23:59:59	66.1434	-157.087	391	0
TA	G21K	EP	LDV	2016-06-18 00:00:00	2599-12-31 23:59:59	66.5156	-153.5058	446	0
TA	G22K	EP	LDV	2016-06-17 00:00:00	2599-12-31 23:59:59	66.9214	-151.5073	205	0
TA	G23K	EP	LDV	2016-06-16 00:00:00	2599-12-31 23:59:59	66.7108	-150.0239	746	0
TA	G24K	EP	LDV	2016-07-20 00:00:00	2599-12-31 23:59:59	66.7004	-147.4754	503	0
TA	G25K	EP	LDV	2016-07-18 00:00:00	2599-12-31 23:59:59	66.7653	-146.1013	146	0
TA	G26K	EP	LDV	2016-07-22 00:00:00	2599-12-31 23:59:59	66.9498	-143.7848	180	0
TA	G27K	EP	LDV	2016-07-23 00:00:00	2599-12-31 23:59:59	66.8088	-141.6549	686	0
TA	G30M	EP	LDV	2016-08-24 00:00:00	2599-12-31 23:59:59	66.9808	-136.2216	739	0
TA	H17A	EP	LDV	2011-09-22 21:45:00	2599-12-31 23:59:59	44.3951	-110.5762	2400	0
TA	H18K	EP	LDV	2017-06-16 00:00:00	2599-12-31 23:59:59	65.1527	-158.3633	494	0
TA	H19K	EP	LDV	2017-06-13 00:00:00	2599-12-31 23:59:59	65.5276	-156.4494	107	0
TA	H20K	EP	LDV	2017-06-11 00:00:00	2599-12-31 23:59:59	65.4924	-154.8808	514	0
TA	H22K	EP	LDV	2016-06-14 00:00:00	2599-12-31 23:59:59	65.8937	-151.3773	561	0
TA	H23K	EP	LDV	2017-03-01 00:00:00	2599-12-31 23:59:59	65.8251	-149.5432	617	0
TA	H25L	EP	LDV	2016-11-10 00:00:00	2599-12-31 23:59:59	66.267	-145.8187	144	0
TA	H27K	EP	LDV	2016-07-25 00:00:00	2599-12-31 23:59:59	66.2305	-141.5265	786	0
TA	I20K	EP	LDV	2017-06-10 00:00:00	2599-12-31 23:59:59	64.7962	-154.4783	75	0
TA	J14K	EP	LDV	2017-05-30 00:00:00	2599-12-31 23:59:59	62.7492	-163.554	25	0
TA	J16K	EP	LDV	2017-06-18 00:00:00	2599-12-31 23:59:59	63.2842	-160.6021	328	0
TA	J17K	EP	LDV	2017-06-18 00:00:00	2599-12-31 23:59:59	63.3965	-159.0777	323	0
TA	J18K	EP	LDV	2017-06-02 00:00:00	2599-12-31 23:59:59	63.465	-156.7154	506	0
TA	J19K	EP	LDV	2017-06-03 00:00:00	2599-12-31 23:59:59	63.994	-155.6214	389	0
TA	J25K	EP	LDV	2017-04-02 00:00:00	2599-12-31 23:59:59	64.613	-145.3697	949	0
TA	J26L	EP	LDV	2017-04-01 18:00:00	2599-12-31 23:59:59	64.5012	-143.5636	1144	0
TA	K13K	EP	LDV	2017-05-31 00:00:00	2599-12-31 23:59:59	61.9331	-164.6555	204.2	0
TA	K15K	EP	LDV	2017-05-29 00:00:00	2599-12-31 23:59:59	62.2938	-161.5308	346	0
TA	K17K	EP	LDV	2017-06-03 00:00:00	2599-12-31 23:59:59	62.7161	-158.3014	339	0
