# NETWORK	STATION	LOCATION	CHANNEL	STARTTIME	ENDTIME	LAT	LON	ELEVATION	DEPTH
TA	109C	00	VHZ	2012-12-13 21:30:00	2599-12-31 23:59:59	32.8889	-117.1051	150	0
TA	121A	00	VHZ	2016-12-06 00:00:00	2599-12-31 23:59:59	32.5324	-107.7851	1652	0
TA	214A	00	VHZ	2015-06-30 15:45:00	2599-12-31 23:59:59	31.9559	-112.8115	543	0
TA	435B	00	VHZ	2016-09-29 20:00:00	2599-12-31 23:59:59	30.7827	-97.585	248	0
TA	833A	00	VHZ	2013-01-28 16:00:00	2599-12-31 23:59:59	28.3236	-99.3939	171	0
TA	A21K	00	VHZ	2014-05-28 00:00:00	2599-12-31 23:59:59	71.3221	-156.6175	5	5.6
TA	A36M	00	VHZ	2013-09-02 00:00:00	2599-12-31 23:59:59	71.9871	-125.2472	32	1.2
TA	ABTX	00	VHZ	2009-02-12 00:00:00	2599-12-31 23:59:59	32.6238	-99.6431	502	0
TA	BGNE	00	VHZ	2008-10-18 00:00:00	2599-12-31 23:59:59	41.4083	-98.1502	573	0
TA	C23K	00	VHZ	2016-06-20 00:00:00	2599-12-31 23:59:59	69.836	-150.6126	179	2
TA	C24K	00	VHZ	2016-06-21 17:00:00	2599-12-31 23:59:59	69.72	-148.7009	115	2
TA	C26K	00	VHZ	2016-06-24 00:00:00	2599-12-31 23:59:59	69.9175	-144.9122	139	2
TA	C27K	00	VHZ	2016-06-23 00:00:00	2599-12-31 23:59:59	69.626	-143.7114	392	2
TA	C36M	00	VHZ	2013-08-21 00:00:00	2599-12-31 23:59:59	69.3475	-124.0703	10	1.3
TA	D23K	00	VHZ	2016-06-19 00:00:00	2599-12-31 23:59:59	68.9656	-150.6807	406	2
TA	D24K	00	VHZ	2016-06-15 00:00:00	2599-12-31 23:59:59	69.1532	-148.8233	292	2
TA	D25K	00	VHZ	2016-06-22 00:00:00	2599-12-31 23:59:59	69.322	-146.3751	770	2
TA	E22K	00	VHZ	2016-06-28 00:00:00	2599-12-31 23:59:59	68.1343	-151.8132	772	2
TA	E23K	00	VHZ	2016-06-26 00:00:00	2599-12-31 23:59:59	68.0584	-149.6163	1084	2
TA	E24K	00	VHZ	2016-06-29 00:00:00	2599-12-31 23:59:59	68.0748	-148.4868	847	2
TA	E25K	00	VHZ	2016-07-12 00:00:00	2599-12-31 23:59:59	68.1207	-145.568	652	2
TA	E27K	00	VHZ	2016-07-13 00:00:00	2599-12-31 23:59:59	68.1861	-141.5951	654	2
TA	EPYK	00	VHZ	2012-10-10 00:00:00	2599-12-31 23:59:59	66.3701	-136.7191	717	1.4
TA	EPYK	01	VHZ	2016-08-23 00:00:00	2599-12-31 23:59:59	66.3701	-136.7191	717	2
TA	F21K	00	VHZ	2016-06-20 00:00:00	2599-12-31 23:59:59	67.2221	-153.483	597	2
TA	F22K	00	VHZ	2016-06-21 00:00:00	2599-12-31 23:59:59	67.5076	-152.179	546	2
TA	F24K	00	VHZ	2016-06-30 00:00:00	2599-12-31 23:59:59	67.5187	-147.8871	736	2
